conference,year,submission_deadline,total_references,academic_paper_hallucinated_references,academic_paper_hallucination_rate_percent
ICLR,2021,2020-10-02,40304,105,0.260520
ICML,2021,2021-02-04,53681,148,0.275703
USENIX,2021,2021-02-04,14328,37,0.258236
NEURIPS,2021,2021-05-28,113411,298,0.262761
ICLR,2024,2023-09-28,127633,287,0.224863
ICML,2024,2024-02-01,148902,395,0.265275
USENIX,2024,2024-02-08,26137,72,0.275472
NEURIPS,2024,2024-05-22,262301,959,0.365611
ICLR,2025,2024-10-01,221281,516,0.233188
ICML,2025,2025-01-30,183256,650,0.354695
USENIX,2025,2025-02-06,27973,90,0.321739
NEURIPS,2025,2025-05-15,334013,1604,0.480221
ICLR,2026,2025-09-24,311080,820,0.263598
